,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
de_fp1_1_3Hz,,,,,,,,
de_fp1_3_5Hz,0.13646136459751984,0.22424068605335526,0.424092521540844,0.401303547609714,-0.1138198961716696,-0.327196818436259,-0.04370635314008438,0.13134279373103971
de_fp1_5_7Hz,0.1469617109279106,0.24862942592844856,0.4100188126583504,0.388260720126331,-0.13763963885379005,-0.30345492666729335,0.004607462111942786,0.15618417960496234
de_fp1_7_9Hz,0.1255089952838076,0.23719952800931468,0.38870872171257,0.37508100275823925,-0.09021851173374203,-0.3431211472655298,-0.04057743507582333,0.04021867687525278
de_fp1_9_11Hz,0.13360773252859268,0.23313481655981855,0.391195563540019,0.38441805705399723,-0.0921277849907422,-0.32183450671159125,-0.041229618764496316,0.08078177426320646
de_fp1_11_13Hz,0.14439877607062976,0.2425159819559845,0.4053851967690448,0.39291745699871705,-0.09567398600398275,-0.3471162872791831,-0.03559078890669762,0.11049497760412043
de_fp1_13_15Hz,0.14168176167624805,0.24039432969938404,0.4282571045920294,0.4132285917081568,-0.09434807245122295,-0.29792132294900764,-0.0482861583415947,0.10322436338081209
de_fp1_15_17Hz,0.13597436776230798,0.2349700479881937,0.4231544054998815,0.4149036865854778,-0.10478009716977003,-0.3342522265560617,-0.04139826929330628,0.12720074509632176
de_fp1_17_19Hz,0.1290211020999017,0.22357703308776225,0.4089702179828523,0.40304492041892964,-0.06518852260862333,-0.29531195731760895,-0.09427270417270378,0.09881209785737645
de_fp1_19_21Hz,0.0982446543961705,0.23123446680684115,0.3840388570980696,0.38102526086242994,-0.103860054379302,-0.3117937285583594,-0.03598931969426674,0.11444006518591002
de_fp1_21_23Hz,0.056323541522860364,0.18903269517277818,0.3637197778769738,0.3484070594082762,-0.09814625593239504,-0.2729704033769291,-0.057543709706035784,0.23479301726459165
de_fp1_23_25Hz,0.02304285648077066,0.15789962303458221,0.32010446935545284,0.30432926418206796,-0.13391233242500364,-0.35270949131151136,-0.0594466517289534,0.1285807940214786
de_fp1_25_27Hz,0.003021030315497896,0.14745422806194508,0.3095855810616834,0.2999290490746437,-0.11750300148398397,-0.3272490061660017,-0.06021266749655061,0.018682336887042482
de_fp1_27_29Hz,-0.015617413447145546,0.12619091380894695,0.28607478553375654,0.2687269710822301,-0.13421299230977074,-0.3411565686183778,0.016812660814509564,0.16878719701123812
de_fp1_29_31Hz,-0.0163280300367261,0.08826262617454825,0.2830590791672128,0.2691149201816814,-0.11992612783264268,-0.2147337219034722,0.0016481428876798233,0.1342903043132951
de_fp1_31_33Hz,-0.025763993402595865,0.04884352178042619,0.2687720082375017,0.2629504909516658,-0.07519668243968554,-0.17655752091760557,-0.05024972143799314,0.001733356490173065
de_fp1_33_35Hz,-0.004126863245382126,0.05003626769119656,0.27952920349696586,0.2761752004261726,0.020417068648606297,-0.06603488890858744,-0.07681264759123706,0.041767729910699804
de_fp1_35_37Hz,-0.02746231636035993,0.03093266621816109,0.26010631919466326,0.2757674635613902,0.0510248653228913,0.03502783197337166,-0.08445375190617005,0.06261461591656947
de_fp1_37_39Hz,-0.02435073750358783,0.005019122071872103,0.2581283521774184,0.2742281750081318,0.01588754417335648,0.03296446836396304,-0.05110074719381614,0.06157256688590192
de_fp1_39_41Hz,-0.044742020299039925,0.005961630591760664,0.23939580382605496,0.2554674925926924,0.03837276370156939,0.024653423238420152,-0.10993415281389786,0.025708729056218644
de_fp1_41_43Hz,-0.021098981063623755,0.03436679911114974,0.24814076376296237,0.2633078704695253,-0.021951692495432718,-0.06733168270127221,-0.02317481381628724,0.04175993920626491
de_fp1_43_45Hz,-0.01069806878835056,0.07980947456658379,0.2439554764603678,0.24965315787727477,0.09996159601515625,0.0324193843819367,-0.16421403252968814,0.07874374390656244
de_fp1_45_47Hz,0.007055089090482428,0.07087779151774158,0.27036918829624584,0.26856712897118357,-0.015616506140959819,-0.14184634722570078,-0.10289862579631963,0.15980182840713053
de_fp1_47_49Hz,0.02961050057508898,0.0831468529699558,0.279761825936986,0.2791504184800405,0.030023805520050816,-0.07461494612784247,-0.11534782480433929,0.1398052720804437
de_fp1_49_51Hz,0.007993277058594449,0.09576480568999404,0.2946283021717067,0.28302116587286597,0.0038159200428954263,-0.11398312315693541,-0.10052539150794797,0.12802072486598484
de_fp2_1_3Hz,,,,,,,,
de_fp2_3_5Hz,0.07496850536280797,0.1893040005923809,0.3531790426517753,0.34226516160827286,-0.20350957486345167,-0.3470019387499588,0.035713692666903725,0.12146849655816823
de_fp2_5_7Hz,0.09083762255194792,0.20513376395002622,0.34413249283824354,0.3222156361063408,-0.15122857641273624,-0.3781705604315081,-0.010593140443181558,0.1693573739183025
de_fp2_7_9Hz,0.07913507539249334,0.19583997005182413,0.31955048370226435,0.30224500763069806,-0.17086690292917706,-0.4374977473686112,-0.002002456781453812,0.05749525076041792
de_fp2_9_11Hz,0.08543541166833463,0.19465435940744946,0.32342984154819776,0.3119376275672035,-0.15401313365761493,-0.4024703583477125,0.007452855747343961,0.1106686225467941
de_fp2_11_13Hz,0.09143608519588378,0.19977062483110442,0.3483338582085479,0.3286707134503898,-0.1475118736234681,-0.394938099131636,-0.002202413264822481,0.08146917140330849
de_fp2_13_15Hz,0.08544996583868303,0.20604692859436513,0.3558490371150184,0.34573000653681885,-0.144343061166665,-0.3940645583198849,-0.026347559971332406,0.027287072440420633
de_fp2_15_17Hz,0.055974535622834505,0.19416112546413186,0.34898117048952787,0.3462838822408876,-0.20444069224084094,-0.4035101362822445,0.042272666273054274,0.06158314851671969
de_fp2_17_19Hz,0.05984545159578186,0.2086047575432715,0.34525242776714216,0.3298328158709275,-0.17118902255100252,-0.37226029465122973,-0.0018845836167056687,0.06375514595978443
de_fp2_19_21Hz,0.02326655045646038,0.17946506683573432,0.3172728078722401,0.3062249123753615,-0.2131720295720345,-0.3932126717674293,0.05211461785946297,0.013937910608072908
de_fp2_21_23Hz,-0.004088456245459116,0.17210204028295176,0.30201553770948975,0.2939665479387789,-0.1889140248419401,-0.31656643925262473,0.022524754206894537,0.11500704896585791
de_fp2_23_25Hz,-0.015225153306174435,0.14538170953234242,0.29088016044355836,0.27650680280231527,-0.18211445228746617,-0.33581715948663005,-0.014209896497881864,0.020472456136563434
de_fp2_25_27Hz,-0.01845929349676573,0.13565609078247903,0.28343994992408855,0.2650107713713143,-0.1833284936701249,-0.2892433687607746,0.025986515395116195,0.04993779539447246
de_fp2_27_29Hz,-0.030596610126728346,0.12047502256133523,0.27543201714996657,0.25984505447557427,-0.15760745789194391,-0.28283745107530595,0.01863606580322112,0.05387918613508548
de_fp2_29_31Hz,-0.06331280984514101,0.09233612910999334,0.25188351497351247,0.2320184493583458,-0.13697795029099663,-0.1808550343756154,0.019334221002596817,-0.006422677530669437
de_fp2_31_33Hz,-0.044254817232041894,0.06687555786747182,0.2551280798249668,0.24144496204244742,-0.1437488822302655,-0.23867411586392648,0.005247747921018738,-0.013757043663679212
de_fp2_33_35Hz,-0.02982426067628107,0.06562455030143445,0.26899146339189806,0.2517425309969997,-0.031117136589884693,-0.10807142631041047,-0.0325363877057737,-0.0168376129913225
de_fp2_35_37Hz,-0.04984216453895343,0.03514368582241778,0.2448316117200096,0.23957468788455943,-0.008475378008546256,-0.024058904512888113,-0.04942700510709446,-0.008285372888087976
de_fp2_37_39Hz,-0.04629480329218825,0.026333116886755,0.2523648622209755,0.2450881647739409,-0.03664853879305277,-0.06958391167342177,-0.01699421636611013,-0.017746355020129757
de_fp2_39_41Hz,-0.03373189966418648,0.0543533035722413,0.24718406288643127,0.24609258124117203,0.012557956383475488,-0.02567297764613118,-0.1007286039221091,0.024345132879060333
