rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
1765237987.3110085,147069.3901844,1765238047.4029477,147129.4816291,1765238050.6651654,147132.7439954,1765238110.8610606,147192.9397562,,,,,,,,,,,,,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,KSS,Baseline,2,3,147201.700178,,,,,,,,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,Stress,Baseline,,7,147204.9637851,2,,,,,,,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,Frustration,Baseline,,10,147208.2004177,,1,,,,,,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,15,147213.7075763,,,Mackworth_Calibration,1,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,16,147214.431923,,,Mackworth_Calibration,2,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,17,147215.1329704,,,Mackworth_Calibration,3,0.7,1,1,0.4042139000084717,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,18,147215.8407035,,,Mackworth_Calibration,4,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,18,147216.5488536,,,Mackworth_Calibration,5,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,19,147217.2600159,,,Mackworth_Calibration,6,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,20,147217.9936871,,,Mackworth_Calibration,7,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,21,147218.7686041,,,Mackworth_Calibration,8,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,21,147219.4840753,,,Mackworth_Calibration,9,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,22,147220.222556,,,Mackworth_Calibration,10,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,23,147220.9536266,,,Mackworth_Calibration,11,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,23,147221.66219,,,Mackworth_Calibration,12,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,24,147222.4036778,,,Mackworth_Calibration,13,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,25,147223.1209095,,,Mackworth_Calibration,14,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,26,147223.8454795,,,Mackworth_Calibration,15,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,26,147224.5788024,,,Mackworth_Calibration,16,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,27,147225.3129091,,,Mackworth_Calibration,17,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,28,147226.0204266,,,Mackworth_Calibration,18,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,28,147226.7436401,,,Mackworth_Calibration,19,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,29,147227.4748587,,,Mackworth_Calibration,20,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,30,147228.2180008,,,Mackworth_Calibration,21,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,31,147228.936556,,,Mackworth_Calibration,22,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,31,147229.6507734,,,Mackworth_Calibration,23,0.7,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
