帧号,时间(秒),状态,置信度
0,0.0,open,0.6698
1,0.05,open,0.6684
2,0.1,open,0.6683
3,0.15,open,0.6671
4,0.2,open,0.6651
5,0.25,open,0.6645
6,0.3,open,0.6647
7,0.35,open,0.6642
8,0.4,open,0.6651
9,0.45,open,0.6662
10,0.5,open,0.6671
11,0.55,open,0.6677
12,0.6,open,0.6683
13,0.65,open,0.6682
14,0.7,open,0.6688
15,0.75,open,0.6701
16,0.8,open,0.6719
17,0.85,open,0.6732
18,0.9,open,0.6748
19,0.95,open,0.6737
20,1.0,open,0.674
21,1.05,open,0.6747
22,1.1,open,0.6761
23,1.15,open,0.676
24,1.2,open,0.6739
25,1.25,open,0.6733
26,1.3,open,0.6738
27,1.35,open,0.6741
28,1.4,open,0.6752
29,1.45,open,0.6763
30,1.5,open,0.6769
31,1.55,open,0.6753
32,1.6,open,0.6775
33,1.65,open,0.6806
34,1.7,open,0.6849
35,1.75,open,0.6833
36,1.8,open,0.673
37,1.85,open,0.669
38,1.9,open,0.6807
39,1.95,open,0.7085
40,2.0,open,0.7137
41,2.05,open,0.7127
42,2.1,open,0.7207
43,2.15,open,0.7213
44,2.2,open,0.7166
45,2.25,open,0.7099
46,2.3,open,0.7084
47,2.35,open,0.7067
48,2.4,open,0.7064
49,2.45,open,0.7007
50,2.5,open,0.6993
51,2.55,open,0.6947
52,2.6,open,0.6904
53,2.65,open,0.6894
54,2.7,open,0.6914
55,2.75,open,0.6921
56,2.8,open,0.6945
57,2.85,open,0.6935
58,2.9,open,0.6944
59,2.95,open,0.6927
60,3.0,open,0.6926
61,3.05,open,0.6902
62,3.1,open,0.6836
63,3.15,open,0.6753
64,3.2,open,0.6667
65,3.25,open,0.6607
66,3.3,open,0.6595
67,3.35,open,0.6598
68,3.4,open,0.658
69,3.45,open,0.6577
70,3.5,open,0.6594
71,3.55,open,0.6606
72,3.6,open,0.6697
73,3.65,open,0.7189
74,3.7,open,0.8024
75,3.75,open,0.886
76,3.8,open,0.9212
77,3.85,open,0.9305
78,3.9,open,0.9201
79,3.95,open,0.9073
80,4.0,open,0.8908
81,4.05,open,0.9074
82,4.1,open,0.9574
83,4.15,open,0.9862
84,4.2,open,0.9655
85,4.25,open,0.9128
86,4.3,open,0.7452
87,4.35,open,0.6197
88,4.4,open,0.5076
89,4.45,close,0.5109
90,4.5,open,0.8091
91,4.55,open,0.7142
92,4.6,open,0.6222
93,4.65,open,0.5129
94,4.7,close,0.6317
95,4.75,open,0.7274
96,4.8,open,0.5546
97,4.85,open,0.519
98,4.9,open,0.898
99,4.95,open,0.853
100,5.0,close,0.6464
101,5.05,close,0.6931
102,5.1,close,0.7613
103,5.15,close,0.6996
104,5.2,close,0.667
105,5.25,close,0.6192
106,5.3,open,0.8987
107,5.35,open,0.9347
108,5.4,open,0.7933
109,5.45,open,0.6836
110,5.5,open,0.6557
111,5.55,open,0.6501
112,5.6,open,0.6471
113,5.65,open,0.6406
114,5.7,open,0.6398
115,5.75,open,0.6381
116,5.8,open,0.639
117,5.85,open,0.6407
118,5.9,open,0.6427
119,5.95,open,0.6422
120,6.0,open,0.6435
121,6.05,open,0.6418
122,6.1,open,0.6424
123,6.15,open,0.6419
124,6.2,open,0.6405
125,6.25,open,0.641
126,6.3,open,0.6418
127,6.35,open,0.6411
128,6.4,open,0.6426
129,6.45,open,0.6424
130,6.5,open,0.6425
131,6.55,open,0.6433
132,6.6,open,0.6442
133,6.65,open,0.6423
134,6.7,open,0.642
135,6.75,open,0.6422
136,6.8,open,0.643
137,6.85,open,0.6421
138,6.9,open,0.6429
139,6.95,open,0.6424
140,7.0,open,0.6424
141,7.05,open,0.6409
142,7.1,open,0.6414
143,7.15,open,0.6422
144,7.2,open,0.6446
145,7.25,open,0.6423
146,7.3,open,0.6424
147,7.35,open,0.6424
148,7.4,open,0.6414
149,7.45,open,0.642
150,7.5,open,0.6431
151,7.55,open,0.6435
152,7.6,open,0.6428
153,7.65,open,0.6434
154,7.7,open,0.6434
155,7.75,open,0.6438
156,7.8,open,0.6453
157,7.85,open,0.6451
158,7.9,open,0.649
159,7.95,open,0.6511
160,8.0,open,0.651
161,8.05,open,0.6552
162,8.1,open,0.6691
163,8.15,open,0.6761
164,8.2,open,0.6653
165,8.25,open,0.6582
166,8.3,open,0.6552
167,8.35,open,0.6564
168,8.4,open,0.6644
169,8.45,open,0.6652
170,8.5,open,0.6649
171,8.55,open,0.6542
172,8.6,open,0.6973
173,8.65,open,0.7812
174,8.7,open,0.8013
175,8.75,open,0.8754
176,8.8,open,0.9682
177,8.85,open,0.6959
178,8.9,open,0.5492
179,8.95,open,0.9261
180,9.0,open,0.6262
181,9.05,close,0.9176
182,9.1,close,0.996
183,9.15,close,0.9817
184,9.2,close,0.9424
185,9.25,close,0.9439
186,9.3,open,0.645
187,9.35,open,0.5911
188,9.4,close,0.9462
189,9.45,close,0.9954
190,9.5,close,0.9978
191,9.55,close,0.9982
192,9.6,close,0.9998
193,9.65,close,0.5593
194,9.7,open,0.9967
195,9.75,open,0.9996
196,9.8,open,0.999
197,9.85,close,0.998
198,9.9,close,0.9993
199,9.95,open,0.5206
200,10.0,open,0.9987
201,10.05,open,1.0
202,10.1,open,1.0
203,10.15,open,1.0
204,10.2,open,0.9633
205,10.25,close,0.9982
206,10.3,open,0.998
207,10.35,open,0.8328
208,10.4,open,0.9866
209,10.45,close,0.7732
210,10.5,close,0.9992
211,10.55,close,0.9909
212,10.6,open,0.9733
213,10.65,open,0.9875
214,10.7,open,0.8078
215,10.75,open,0.9791
216,10.8,open,0.7153
217,10.85,close,0.9377
218,10.9,close,0.962
219,10.95,open,0.8121
220,11.0,open,0.9949
221,11.05,open,0.9997
222,11.1,open,0.9998
223,11.15,open,0.9999
224,11.2,open,0.9999
225,11.25,open,0.9998
226,11.3,open,0.9995
227,11.35,open,0.9993
228,11.4,open,0.9937
229,11.45,open,0.8981
230,11.5,open,0.6051
231,11.55,open,0.7418
232,11.6,open,0.7909
233,11.65,open,0.9409
234,11.7,close,0.5492
235,11.75,close,0.9456
236,11.8,open,0.9736
237,11.85,open,0.999
238,11.9,open,0.9993
239,11.95,open,0.9997
240,12.0,open,0.9999
241,12.05,open,0.9999
242,12.1,open,0.9999
243,12.15,open,0.9999
244,12.2,open,0.9999
245,12.25,open,0.9999
246,12.3,open,0.9962
247,12.35,open,0.9955
248,12.4,open,0.9925
249,12.45,open,0.9861
250,12.5,open,0.9807
251,12.55,open,0.982
252,12.6,open,0.981
253,12.65,open,0.9936
254,12.7,open,0.9981
255,12.75,open,0.999
256,12.8,open,0.9993
257,12.85,open,0.9994
258,12.9,close,0.9509
259,12.95,close,0.9814
260,13.0,close,0.9897
261,13.05,open,0.9897
262,13.1,open,0.9998
263,13.15,open,0.9999
264,13.2,open,1.0
265,13.25,open,1.0
266,13.3,open,1.0
267,13.35,open,1.0
268,13.4,open,1.0
269,13.45,open,1.0
270,13.5,open,1.0
271,13.55,open,1.0
272,13.6,open,0.9997
273,13.65,open,0.9987
274,13.7,open,0.9982
275,13.75,open,0.998
276,13.8,open,0.9977
277,13.85,open,0.9779
278,13.9,open,0.8724
279,13.95,open,0.9767
280,14.0,open,0.9989
281,14.05,open,0.9977
282,14.1,open,0.9905
283,14.15,open,0.9925
284,14.2,open,0.9941
285,14.25,open,0.9934
286,14.3,open,0.9879
287,14.35,open,0.8837
288,14.4,close,0.996
289,14.45,close,0.9701
290,14.5,open,0.9967
291,14.55,open,0.9998
292,14.6,open,0.9999
293,14.65,open,1.0
294,14.7,open,1.0
295,14.75,open,1.0
296,14.8,open,1.0
297,14.85,open,1.0
298,14.9,open,1.0
299,14.95,open,1.0
300,15.0,open,1.0
301,15.05,open,1.0
302,15.1,open,1.0
303,15.15,open,1.0
304,15.2,open,1.0
305,15.25,open,1.0
306,15.3,open,1.0
307,15.35,open,1.0
308,15.4,open,1.0
309,15.45,open,1.0
310,15.5,open,1.0
311,15.55,open,1.0
312,15.6,open,1.0
313,15.65,open,1.0
314,15.7,open,1.0
315,15.75,open,0.75
316,15.8,open,0.9945
317,15.85,open,0.9998
318,15.9,open,0.9999
319,15.95,open,1.0
