,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
de_fp1_1_3Hz,,,,,,,,
de_fp1_3_5Hz,0.09650183961316416,-0.012429771240295075,0.015390778534270302,0.0595697566322667,-0.01080611656777129,-0.02263561971379318,-0.07180682651694056,-0.04083142863954787
de_fp1_5_7Hz,0.26425850245911364,-0.04634078454552046,-0.10689627332236573,-0.2445125945518154,-0.17344209603782398,-0.08343775304500661,0.17124847149155556,-0.09554086135167042
de_fp1_7_9Hz,0.34843574196908794,0.10816109759412484,-0.06899305078196895,-0.17941203401328845,-0.20171691433824113,-0.11139392666538557,0.20228304059873997,-0.18707884553732995
de_fp1_9_11Hz,0.260724762812306,0.011477863625997085,-0.08425773368587305,-0.2241721352879659,-0.12053597016499551,-0.05137460333877149,0.13227677607567567,-0.14496624491047697
de_fp1_11_13Hz,0.31556076020394563,0.010434190133453852,-0.11018622427607558,-0.2298309477119634,-0.23553744705025897,-0.17517068908541625,0.19498533244966626,-0.10948218813394778
de_fp1_13_15Hz,0.23144610515593592,0.01969799011960119,-0.09965203631472143,-0.1712013218130339,-0.1473204001033226,-0.08621646887979524,0.18311858982025497,-0.13814204455296225
de_fp1_15_17Hz,0.22872893159107266,-0.019861262182923955,-0.14740070196190458,-0.23675266208002935,-0.17652541243927483,-0.07632485474189124,0.16042875556894254,-0.07980588915890832
de_fp1_17_19Hz,0.30747010627522664,0.04546664150777893,-0.09102811556855858,-0.16495395716001024,-0.2030376745905424,-0.14816824973398213,0.19618155684042043,-0.05562596631750763
de_fp1_19_21Hz,0.2202221464017346,0.018442987258755858,-0.07414165119755545,-0.1294282597374518,-0.12428629836562853,-0.12170814816094969,0.1417768758905393,-0.050570212345241554
de_fp1_21_23Hz,0.27546113604010813,-0.014717995839852147,-0.11403217010601231,-0.2065014686270522,-0.14914976820257553,-0.0767515169754191,0.1842826348006409,0.004525148862356221
de_fp1_23_25Hz,0.25058450097644686,-0.004333286804630285,-0.14207959670215342,-0.22181396362182423,-0.18341873133955414,-0.14247195768393234,0.20641133364741387,-0.09768462006941368
de_fp1_25_27Hz,0.19295776144683585,-0.02692640892730696,-0.12981109704244984,-0.2140808070090086,-0.1881050183685157,-0.07492536680233629,0.20474889925352452,-0.06458662963926066
de_fp1_27_29Hz,0.17976026208804893,-0.0900997930451763,-0.19213283750219046,-0.2601315602825867,-0.10125787454380696,-0.0003247927911686349,0.15689179797696245,-0.0190674720542941
de_fp1_29_31Hz,0.28744688971310517,-0.02455517984236668,-0.10647083936123666,-0.21346460016383567,-0.16020060472151582,-0.08606201548740676,0.18092815469002418,-0.05095962959806966
de_fp1_31_33Hz,0.15011482411744617,-0.15777796194039154,-0.2502853821219182,-0.352363521841901,-0.18416020846269435,-0.17720370246562855,0.22074734071176177,-0.2179862548063758
de_fp1_33_35Hz,0.0872482606311886,-0.2107104606222362,-0.29273614964251854,-0.36643984142242253,-0.1823895994248717,-0.1440054286114627,0.18903540639342306,-0.1300037381408381
de_fp1_35_37Hz,0.024684833917992442,-0.30213464780773114,-0.3863782780696683,-0.4851244406181399,-0.11623875529652837,-0.10597777372720198,0.09445349761366575,-0.07890462747981904
de_fp1_37_39Hz,-0.06434230661002273,-0.40776515641626654,-0.4598565548696874,-0.5279536704774631,-0.17597313434258594,-0.17592526826193478,0.17207932188086528,-0.09049721580094158
de_fp1_39_41Hz,-0.27381681546391506,-0.5488497960403984,-0.626008590347767,-0.6633547827010009,-0.06758015538639847,-0.00038462000950540386,0.14018467493655423,0.011551180137788941
de_fp1_41_43Hz,-0.38405672970181887,-0.6379640480520528,-0.5862161967702664,-0.6150116602634516,-0.004953260610761637,0.0011415119355445216,0.019170264522990067,0.004232694817380051
de_fp1_43_45Hz,-0.31520644384407126,-0.5262083069337017,-0.5718460040373756,-0.5803049268582543,-0.0726668895544002,-0.03637290670814549,0.15720168419101535,-0.020405543045831503
de_fp1_45_47Hz,-0.42911310570786354,-0.6434415909603857,-0.621448003629224,-0.6268934551199319,0.04810629017424367,0.05239006052935902,-0.005094572208443459,-0.015579597158263167
de_fp1_47_49Hz,-0.4875512765993536,-0.64314445698611,-0.6107860324725549,-0.6042825273248976,-0.051008994334055306,-0.01862896888329898,0.06768022081097116,-0.04144003991259332
de_fp1_49_51Hz,-0.5090557464123404,-0.6433065185959492,-0.5495583439834798,-0.5349969211703665,0.00013070340823875815,0.01850265537935523,0.010505238127008858,0.06713656166484414
de_fp2_1_3Hz,,,,,,,,
de_fp2_3_5Hz,-0.03043383486460463,-0.14588174038895427,-0.11875595584112746,-0.04274101664255847,-0.07786933739030644,-0.056296885297974934,-0.0021752030371259556,-0.09179302047806134
de_fp2_5_7Hz,0.0981725107150178,-0.12582822796748283,-0.25056331734228865,-0.3388909922989723,-0.2270718111288041,-0.14567269343301353,0.2499359777696391,-0.12686019036678797
de_fp2_7_9Hz,0.19776260191947964,0.002300881705015863,-0.17147348869830648,-0.24721587162962377,-0.282286623053332,-0.1847199042933766,0.30772067811251824,-0.25464987343053647
de_fp2_9_11Hz,0.1360833118291462,-0.026523358716014862,-0.19219793399115345,-0.2825886252076808,-0.29122111565494435,-0.18948693226062513,0.29655300689856817,-0.18108081921727795
de_fp2_11_13Hz,0.11307070557127574,-0.0893481014002806,-0.2830292780999616,-0.33661993313766514,-0.26578395193243237,-0.18131209526823888,0.2439143582607609,-0.1852202541065227
de_fp2_13_15Hz,0.11472099892783891,-0.026547037028868813,-0.2706989094689956,-0.32293512327328056,-0.2848610212127179,-0.19732032029426688,0.294802150562245,-0.24406621125388764
de_fp2_15_17Hz,0.12575972068548794,-0.04957068315528048,-0.2580951147868845,-0.3178492158203333,-0.22389516222956096,-0.13686712392444414,0.2102615034408412,-0.15095192947313496
de_fp2_17_19Hz,0.17396234098340776,0.02434652024283019,-0.20836171175874527,-0.24588051569716785,-0.22434157938279176,-0.16332193643897455,0.2187729499107155,-0.1843287424071462
de_fp2_19_21Hz,0.11276828337485123,-0.11531242763663258,-0.25426389666341714,-0.2943300589959942,-0.23427152121368577,-0.2008598106415485,0.22802719238337063,-0.1880613037830064
de_fp2_21_23Hz,0.2176860028132419,0.0825430565441639,-0.13471068238753398,-0.173304111223944,-0.19101409133882086,-0.12325096515558974,0.219615501129241,-0.10988958961477369
de_fp2_23_25Hz,0.1200739054581328,-0.058383780420832754,-0.25678049411900095,-0.29411279287132336,-0.19593107192470274,-0.11769441268481946,0.23580489110987837,-0.12932280640552088
de_fp2_25_27Hz,0.08021253235758488,-0.19414907754761307,-0.36248417335674843,-0.38284748350260667,-0.212354213573797,-0.11355143376710114,0.25558505750356614,-0.17677351472819336
de_fp2_27_29Hz,0.060013760174495424,-0.12195473542356663,-0.28112583258188095,-0.3283036074092406,-0.1410257146006456,-0.07701772776763206,0.16868759929270677,-0.11114567602167791
de_fp2_29_31Hz,0.05139492644178366,-0.1597646826922093,-0.3247473007975685,-0.3965715675207016,-0.21201229331087096,-0.1238117324460584,0.23043991467765196,-0.20283444963237546
de_fp2_31_33Hz,-0.047870527229415163,-0.18521835177281687,-0.3817882099336204,-0.3803711785693381,-0.16901803579214122,-0.08178090071431171,0.28355599124081127,-0.14681809329210313
de_fp2_33_35Hz,-0.10871593578961877,-0.3298639502962053,-0.522388952629961,-0.525543820975397,-0.14841072638817476,-0.06350593361938414,0.19917533359738232,-0.2212303214675505
de_fp2_35_37Hz,-0.19829752445186355,-0.3874342955252815,-0.5321481988152409,-0.5249973339013574,-0.11065582574358011,-0.04509347370529682,0.20246297677192612,-0.12144250556128021
de_fp2_37_39Hz,-0.1360746253856836,-0.3608836083971535,-0.48058337913393867,-0.5094733707546462,-0.11572463517728178,-0.01417747229708588,0.2088481668134528,-0.10357029153189405
de_fp2_39_41Hz,-0.43741972436416343,-0.5213651036296042,-0.6651760844553724,-0.6274725312930696,-0.0797290397346527,-0.015568278928364099,0.1445576157892313,-0.07449468705206322
de_fp2_41_43Hz,-0.39011090573863494,-0.5376230683312966,-0.6104437013337537,-0.5468933975972561,-0.06510246872639822,-0.016433024492772362,0.10123565960558287,-0.1029349724502364
de_fp2_43_45Hz,-0.4122812114113345,-0.48330019648151695,-0.5898191074781568,-0.5241556288545774,-0.1381291449220562,-0.07913862007934902,0.13841345971668706,-0.03186170527658359
de_fp2_45_47Hz,-0.39006815721961996,-0.5505872400032688,-0.6317886520877775,-0.5763927965601536,-0.013084307786158444,0.05177050356369896,0.0659467832794603,-0.11026573567536001
de_fp2_47_49Hz,-0.4468668995945797,-0.5404923304226159,-0.6483899009744828,-0.5664683698245344,0.03630411210823821,0.08370696054662416,0.027078402582271916,-0.020368264150970934
de_fp2_49_51Hz,-0.4141221150360767,-0.5751128403941181,-0.6151647258363762,-0.5496907967603202,-0.022598997568655486,-9.592576712532178e-05,0.048980696484955025,-0.017513437954019218
bp_fp1_delta,0.36921522021300845,0.16688760022243548,-0.00040806784506944305,-0.07583586389773014,-0.14351042287496196,-0.11488275740213805,0.14716291076496765,-0.26100846513885034
bp_fp1_theta,0.3734262647078358,0.11626472967524065,-0.015940320500426944,-0.12725613047906872,-0.1157179947397387,-0.07703124002027073,0.12084553658576389,-0.14894984189645952
bp_fp1_alpha,0.3115830482138783,0.09302938338123232,-0.05854265311198742,-0.16117860841018733,-0.14253682116507266,-0.07193231929908825,0.14498016241161069,-0.10339975686358457
bp_fp1_beta,0.3018977020340131,0.04812251402486186,-0.09384927453021388,-0.14989508809962032,-0.10837721584019765,-0.09667507032703444,0.13825311488904918,-0.04197841458375016
bp_fp1_gamma,-0.04610583826106156,-0.34012860301510534,-0.44440236944339073,-0.5078778916562524,-0.0976959663364631,-0.09756481081615884,0.15065505845602392,-0.04352680010118573
bp_fp2_delta,0.205154803366923,0.060955788579012196,-0.1652971734725413,-0.21494127987228595,-0.2354707869821704,-0.23837750221927298,0.22932395372075648,-0.2341153566068537
bp_fp2_theta,0.1620339900852178,-0.019226447743215556,-0.19780301372702946,-0.2701787031769519,-0.23840992741766656,-0.2222635505139715,0.2136182353467352,-0.19895772836720296
bp_fp2_alpha,0.1658178754627589,-0.01648924710111534,-0.18423919454909193,-0.24841646967162195,-0.21781327824983177,-0.16655540207379854,0.22430509851087974,-0.14800861468250393
bp_fp2_beta,0.23711196690973083,0.02210577791931964,-0.16846085663302052,-0.1988204866434557,-0.15526855827929964,-0.1549179136093075,0.15821639474259203,-0.12031521994143818
bp_fp2_gamma,-0.316536689826846,-0.45996847681219033,-0.6230771508072384,-0.6117120811462802,-0.10583361397147163,-0.03134173242268038,0.1899225359952838,-0.08163812093322101
