eeg_feature,behavior_variable,correlation,abs_correlation
de_fp2_39_41Hz,stress,-0.6651760844553724,0.6651760844553724
de_fp1_39_41Hz,frustration,-0.6633547827010009,0.6633547827010009
de_fp2_47_49Hz,stress,-0.6483899009744828,0.6483899009744828
de_fp1_45_47Hz,kss_rating,-0.6434415909603857,0.6434415909603857
de_fp1_49_51Hz,kss_rating,-0.6433065185959492,0.6433065185959492
de_fp1_47_49Hz,kss_rating,-0.64314445698611,0.64314445698611
de_fp1_41_43Hz,kss_rating,-0.6379640480520528,0.6379640480520528
de_fp2_45_47Hz,stress,-0.6317886520877775,0.6317886520877775
de_fp2_39_41Hz,frustration,-0.6274725312930696,0.6274725312930696
de_fp1_45_47Hz,frustration,-0.6268934551199319,0.6268934551199319
de_fp1_39_41Hz,stress,-0.626008590347767,0.626008590347767
bp_fp2_gamma,stress,-0.6230771508072384,0.6230771508072384
de_fp1_45_47Hz,stress,-0.621448003629224,0.621448003629224
de_fp2_49_51Hz,stress,-0.6151647258363762,0.6151647258363762
de_fp1_41_43Hz,frustration,-0.6150116602634516,0.6150116602634516
bp_fp2_gamma,frustration,-0.6117120811462802,0.6117120811462802
de_fp1_47_49Hz,stress,-0.6107860324725549,0.6107860324725549
de_fp2_41_43Hz,stress,-0.6104437013337537,0.6104437013337537
de_fp1_47_49Hz,frustration,-0.6042825273248976,0.6042825273248976
de_fp2_43_45Hz,stress,-0.5898191074781568,0.5898191074781568
de_fp1_41_43Hz,stress,-0.5862161967702664,0.5862161967702664
de_fp1_43_45Hz,frustration,-0.5803049268582543,0.5803049268582543
de_fp2_45_47Hz,frustration,-0.5763927965601536,0.5763927965601536
de_fp2_49_51Hz,kss_rating,-0.5751128403941181,0.5751128403941181
de_fp1_43_45Hz,stress,-0.5718460040373756,0.5718460040373756
de_fp2_47_49Hz,frustration,-0.5664683698245344,0.5664683698245344
de_fp2_45_47Hz,kss_rating,-0.5505872400032688,0.5505872400032688
de_fp2_49_51Hz,frustration,-0.5496907967603202,0.5496907967603202
de_fp1_49_51Hz,stress,-0.5495583439834798,0.5495583439834798
de_fp1_39_41Hz,kss_rating,-0.5488497960403984,0.5488497960403984
de_fp2_41_43Hz,frustration,-0.5468933975972561,0.5468933975972561
de_fp2_47_49Hz,kss_rating,-0.5404923304226159,0.5404923304226159
de_fp2_41_43Hz,kss_rating,-0.5376230683312966,0.5376230683312966
de_fp1_49_51Hz,frustration,-0.5349969211703665,0.5349969211703665
de_fp2_35_37Hz,stress,-0.5321481988152409,0.5321481988152409
de_fp1_37_39Hz,frustration,-0.5279536704774631,0.5279536704774631
de_fp1_43_45Hz,kss_rating,-0.5262083069337017,0.5262083069337017
de_fp2_33_35Hz,frustration,-0.525543820975397,0.525543820975397
de_fp2_35_37Hz,frustration,-0.5249973339013574,0.5249973339013574
de_fp2_43_45Hz,frustration,-0.5241556288545774,0.5241556288545774
de_fp2_33_35Hz,stress,-0.522388952629961,0.522388952629961
de_fp2_39_41Hz,kss_rating,-0.5213651036296042,0.5213651036296042
de_fp2_37_39Hz,frustration,-0.5094733707546462,0.5094733707546462
de_fp1_49_51Hz,perclos,-0.5090557464123404,0.5090557464123404
bp_fp1_gamma,frustration,-0.5078778916562524,0.5078778916562524
de_fp1_47_49Hz,perclos,-0.4875512765993536,0.4875512765993536
de_fp1_35_37Hz,frustration,-0.4851244406181399,0.4851244406181399
de_fp2_43_45Hz,kss_rating,-0.48330019648151695,0.48330019648151695
