Trial,Test_MSE,Test_RMSE,Test_Correlation,Valid_MSE,Valid_RMSE,Valid_Correlation
1,0.000992,0.031494,0.993984,0.000446,0.021115,0.997445
2,0.000859,0.029315,0.986642,0.000662,0.025721,0.988706
3,0.001036,0.032186,0.986523,0.001058,0.032526,0.983284
4,0.00146,0.038206,0.982644,0.001151,0.03393,0.986068
5,0.003965,0.062968,0.983379,0.004951,0.070366,0.97743
6,0.00056,0.02367,0.984691,0.000521,0.022823,0.986532
7,0.001406,0.03749,0.95728,0.000915,0.030244,0.965445
8,0.001277,0.03573,0.99089,0.000935,0.03058,0.992629
9,0.001014,0.031848,0.975592,0.001027,0.032047,0.965059
10,0.000912,0.030205,0.979818,0.001566,0.039571,0.967684
11,0.001364,0.036938,0.967397,0.001514,0.038908,0.956229
12,0.003069,0.0554,0.990163,0.003338,0.05778,0.98859
13,0.00059,0.024282,0.994034,0.000701,0.026483,0.992044
14,0.001876,0.043307,0.983017,0.002007,0.044804,0.980394
15,0.000815,0.028541,0.988595,0.000493,0.022212,0.990692
16,0.001607,0.040082,0.992139,0.00106,0.032553,0.995111
17,0.000862,0.029367,0.992138,0.002752,0.052461,0.985324
18,0.001951,0.044168,0.991374,0.001903,0.043627,0.991971
19,0.001129,0.033605,0.959536,0.000914,0.030233,0.967982
20,0.001073,0.032753,0.996284,0.000915,0.030242,0.996673
21,0.002241,0.047341,0.99036,0.003433,0.058595,0.984421
